what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1506392933126
java.vm.specification.version,sysinfo,,,"1.8",1506392933126
java.vm.vendor,sysinfo,,,"Oracle Corporation",1506392933126
java.vm.version,sysinfo,,,"25.131-b11",1506392933126
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1506392934199
error,log,,,"Unhandled event loop exception",1506392934652
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1506392962463
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1506392962623
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1506392962652
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1506392963182
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1506392963338
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1506392963386
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1506392963588
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1506392963692
opened,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1506392963803
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1506392963901
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1506392964287
started,bundle,org.eclipse.pde,3.7.2.v201202080800,"org.eclipse.pde",1506392964306
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1506392964400
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1506392964420
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1506392965739
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1506392966132
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1506392966461
started,bundle,org.eclipse.graphiti.examples.common,0.9.0.v20120613-0805,"org.eclipse.graphiti.examples.common",1506392967105
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1506392972624
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1506392972715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506392978278
started,bundle,org.eclipse.emf.validation.ui,1.3.0.v200901271722,"org.eclipse.emf.validation.ui",1506393003364
started,bundle,org.eclipse.emf.eef.runtime,1.0.2.v20120216-1513,"org.eclipse.emf.eef.runtime",1506393003491
opened,editor,org.eclipse.featuremodel.diagrameditor,0.1.0.201207021031,"org.eclipse.featuremodel.diagrameditor.diagrameditor",1506393003563
activated,editor,org.eclipse.featuremodel.diagrameditor,0.1.0.201207021031,"org.eclipse.featuremodel.diagrameditor.diagrameditor",1506393003591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1506393003712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506393003750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506393012829
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1506393265941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506394352943
activated,editor,org.eclipse.featuremodel.diagrameditor,0.1.0.201207021031,"org.eclipse.featuremodel.diagrameditor.diagrameditor",1506394354661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506394950663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506394991351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506395134891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506395167057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506395414911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506412513470
activated,editor,org.eclipse.featuremodel.diagrameditor,0.1.0.201207021031,"org.eclipse.featuremodel.diagrameditor.diagrameditor",1506412518166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506412865614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506412866721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506412979444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1506412979583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506412979603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506413305607
activated,perspective,org.eclipse.ui.ide.application,,"org.eclipse.ui.resourcePerspective",1506415040025
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1506415040026
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1506415040027
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1506415040027
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1506415040028
