what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1510622068838
java.vm.specification.version,sysinfo,,,"1.8",1510622068838
java.vm.vendor,sysinfo,,,"Oracle Corporation",1510622068838
java.vm.version,sysinfo,,,"25.151-b12",1510622068838
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1510622072093
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1510622072114
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1510622072153
started,bundle,org.eclipse.amalgam.discovery.modeling,1.2.0.v20110608-1648,"org.eclipse.amalgam.discovery.modeling",1510622074617
started,bundle,org.eclipse.amalgam.discovery.ui,1.2.0.v20110608-1648,"org.eclipse.amalgam.discovery.ui",1510622074627
started,bundle,org.eclipse.amalgam.discovery.core,1.2.0.v20110608-1648,"org.eclipse.amalgam.discovery.core",1510622074700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622075363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622132473
activated,editor,org.eclipse.featuremodel.diagrameditor,0.1.0.201207021031,"org.eclipse.featuremodel.diagrameditor.diagrameditor",1510622135299
activated,editor,org.eclipse.featuremodel.diagrameditor,0.1.0.201207021031,"org.eclipse.featuremodel.diagrameditor.diagrameditor",1510622135332
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1510622135373
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1510622141180
started,bundle,org.eclipse.graphiti.examples.common,0.9.0.v20120613-0805,"org.eclipse.graphiti.examples.common",1510622141186
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1510622144016
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1510622144019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622150253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622228937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622243594
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1510622248124
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1510622248131
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1510622248142
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1510622248251
opened,view,de.ovgu.featureide.ui,3.4.1.201710251937,"de.ovgu.featureide.ui.views.collaboration.Collaboration",1510622248316
opened,view,de.ovgu.featureide.fm.ui,3.4.1.201710251937,"de.ovgu.featureide.ui.views.collaboration.outline.CollaborationOutline",1510622248353
activated,perspective,de.ovgu.featureide.ui,3.4.1.201710251937,"de.ovgu.featureide.ui.FeatureIDEperspective",1510622248391
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1510622248441
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1510622248457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1510622248457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622248496
activated,editor,org.eclipse.featuremodel.diagrameditor,0.1.0.201207021031,"org.eclipse.featuremodel.diagrameditor.diagrameditor",1510622257291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622262503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622276414
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1510622277645
started,bundle,br.ufal.ic.colligens,1.1.4.201710251937,"br.ufal.ic.colligens",1510622280997
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1510622281081
started,bundle,de.ovgu.featureide.core.ahead,3.4.1.201710251937,"de.ovgu.featureide.core.ahead",1510622281133
started,bundle,de.ovgu.featureide.core.antenna,3.4.1.201710251937,"de.ovgu.featureide.core.antenna",1510622281138
started,bundle,de.ovgu.featureide.core.aspectj,3.4.1.201710251937,"de.ovgu.featureide.core.aspectj",1510622281143
started,bundle,de.ovgu.featureide.core.featurecpp,3.4.1.201710251937,"de.ovgu.featureide.core.featurecpp",1510622281145
started,bundle,de.ovgu.featureide.core.featurehouse,3.4.1.201710251937,"de.ovgu.featureide.core.featurehouse",1510622281204
started,bundle,de.ovgu.featureide.core.framework,3.4.1.201710251937,"de.ovgu.featureide.core.framework",1510622281212
started,bundle,de.ovgu.featureide.core.images,3.4.1.201710251937,"de.ovgu.featureide.core.images",1510622281215
started,bundle,de.ovgu.featureide.core.munge,3.4.1.201710251937,"de.ovgu.featureide.core.munge",1510622281217
started,bundle,de.ovgu.featureide.core.munge.android,3.4.1.201710251937,"de.ovgu.featureide.core.munge.android",1510622281220
started,bundle,de.ovgu.featureide.core.runtime,3.4.1.201710251937,"de.ovgu.featureide.core.runtime",1510622281223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622281338
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1510622348329
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1510622349073
opened,editor,de.ovgu.featureide.fm.ui,3.4.1.201710251937,"de.ovgu.featureide.fm.ui.editors.FeatureModelEditor",1510622349529
activated,editor,de.ovgu.featureide.fm.ui,3.4.1.201710251937,"de.ovgu.featureide.fm.ui.editors.FeatureModelEditor",1510622349594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622349744
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1510622349987
activated,view,de.ovgu.featureide.fm.ui,3.4.1.201710251937,"de.ovgu.featureide.ui.views.collaboration.outline.CollaborationOutline",1510622379917
activated,editor,de.ovgu.featureide.fm.ui,3.4.1.201710251937,"de.ovgu.featureide.fm.ui.editors.FeatureModelEditor",1510622387159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622393310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622419558
started,bundle,org.eclipse.emf.ecore.edit,2.7.1.v20120130-0943,"org.eclipse.emf.ecore.edit",1510622453262
started,bundle,org.eclipse.featuremodel.metamodel.editor,0.7.0,"org.eclipse.featuremodel.metamodel.editor",1510622453263
started,bundle,org.eclipse.featuremodel.metamodel.edit,0.7.0,"org.eclipse.featuremodel.metamodel.edit",1510622453289
opened,editor,org.eclipse.featuremodel.metamodel.editor,0.7.0,"org.eclipse.featuremodel.presentation.FeatureModelEditorID",1510622453414
activated,editor,org.eclipse.featuremodel.metamodel.editor,0.7.0,"org.eclipse.featuremodel.presentation.FeatureModelEditorID",1510622453472
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1510622469094
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1510622476599
opened,editor,org.eclipse.featuremodel.metamodel.editor,0.7.0,"org.eclipse.featuremodel.presentation.FeatureModelEditorID",1510622476762
activated,editor,org.eclipse.featuremodel.metamodel.editor,0.7.0,"org.eclipse.featuremodel.presentation.FeatureModelEditorID",1510622476797
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1510622476840
activated,editor,org.eclipse.featuremodel.metamodel.editor,0.7.0,"org.eclipse.featuremodel.presentation.FeatureModelEditorID",1510622482321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622488810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622491127
activated,editor,de.ovgu.featureide.fm.ui,3.4.1.201710251937,"de.ovgu.featureide.fm.ui.editors.FeatureModelEditor",1510622494040
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1510622497528
activated,editor,org.eclipse.featuremodel.metamodel.editor,0.7.0,"org.eclipse.featuremodel.presentation.FeatureModelEditorID",1510622521519
activated,editor,de.ovgu.featureide.fm.ui,3.4.1.201710251937,"de.ovgu.featureide.fm.ui.editors.FeatureModelEditor",1510622523755
closed,editor,org.eclipse.featuremodel.metamodel.editor,0.7.0,"org.eclipse.featuremodel.presentation.FeatureModelEditorID",1510622523758
closed,editor,org.eclipse.featuremodel.metamodel.editor,0.7.0,"org.eclipse.featuremodel.presentation.FeatureModelEditorID",1510622528074
activated,editor,org.eclipse.featuremodel.diagrameditor,0.1.0.201207021031,"org.eclipse.featuremodel.diagrameditor.diagrameditor",1510622530211
activated,view,de.ovgu.featureide.fm.ui,3.4.1.201710251937,"de.ovgu.featureide.ui.views.collaboration.outline.CollaborationOutline",1510622536781
activated,editor,de.ovgu.featureide.fm.ui,3.4.1.201710251937,"de.ovgu.featureide.fm.ui.editors.FeatureModelEditor",1510622539340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622542978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622547241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622600444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622646162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622685988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622695846
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1510622732246
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1510622743334
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1510622752533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622800431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622805582
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1510622809993
activated,editor,de.ovgu.featureide.fm.ui,3.4.1.201710251937,"de.ovgu.featureide.fm.ui.editors.FeatureModelEditor",1510622810022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622817607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622832071
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1510622833777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622878680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510622890251
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1510623000270
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1510623052198
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1510623207494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510623343961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1510623361273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510623361341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510623366253
