0,198,87,7,24
10,195,87,7,23
20,194,89,7,21
30,192,91,7,19
40,191,92,7,17
50,190,94,6,15
60,188,96,6,13
70,187,70,6,5
80,185,68,6,5
90,184,66,6,5
100,182,66,5,5
110,181,68,5,5
120,180,69,5,5
130,178,104,5,39
140,177,105,5,40
150,175,105,5,41
160,174,105,6,42
170,172,105,7,42
180,171,105,7,40
190,170,55,8,48
200,168,58,9,51
210,171,65,10,53
220,177,72,6,52
230,183,79,5,51
240,189,86,7,49
250,195,99,11,5
260,201,101,14,5
270,207,103,15,5
280,213,104,16,5
290,219,106,17,5
300,225,108,15,5
310,231,145,12,10
320,235,141,9,9
330,238,138,5,9
340,241,135,6,8
350,241,131,7,8
360,240,128,9,7
370,239,97,10,41
380,237,96,12,44
390,236,95,14,47
400,235,94,15,50
410,234,93,17,53
420,232,92,19,53
430,231,104,20,36
440,230,105,22,40
450,228,107,24,43
460,227,109,25,39
470,226,111,27,36
480,223,113,29,32
490,218,74,30,20
500,214,74,32,21
510,210,75,34,22
520,206,76,35,24
530,202,79,37,25
540,198,83,38,26
550,194,86,40,27
560,189,90,41,29
570,185,93,42,30
580,181,97,42,31
590,177,100,43,32
600,173,104,44,33
610,169,124,45,35
620,165,125,46,36
630,160,127,47,37
640,156,129,48,38
650,152,131,49,40
660,148,132,49,41
670,144,134,50,42
680,140,136,51,43
690,136,138,52,45
700,131,140,53,46
710,127,141,54,47
720,123,143,55,48
730,119,61,56,48
740,114,62,57,46
750,107,62,57,42
760,100,62,58,39
770,93,62,59,35
780,86,61,60,31
790,79,61,61,28
800,73,61,62,24
810,66,61,63,21
820,59,60,63,17
830,52,60,60,13
840,48,62,56,10
850,47,56,53,19
860,48,57,49,19
870,48,59,46,20
880,49,61,42,20
890,50,62,39,20
900,50,64,36,20
910,51,134,32,47
920,55,135,29,44
930,58,137,25,41
940,60,138,22,39
950,62,139,18,36
960,68,141,15,33
970,73,121,12,35
980,79,123,8,32
990,84,126,5,28
1000,90,129,6,25
1010,96,132,7,21
1020,101,134,9,18
1030,107,66,10,11
1040,113,63,12,12
1050,118,60,13,12
1060,124,58,14,13
1070,129,56,16,14
1080,135,54,17,14
1090,141,54,19,15
1100,146,58,20,16
1110,152,61,21,19
1120,158,63,23,21
1130,163,67,24,23
1140,169,71,25,26
1150,174,74,27,28
1160,180,78,28,31
1170,186,82,30,33
1180,191,86,31,36
1190,197,90,32,38
1200,202,93,34,38
1210,208,26,35,17
1220,214,27,37,19
1230,217,32,38,20
1240,218,37,39,21
1250,219,41,41,22
1260,221,46,42,23
1270,222,86,44,20
1280,223,90,45,19
1290,224,94,46,19
1300,223,97,48,18
1310,222,101,49,18
1320,221,105,50,17
1330,220,68,52,33
1340,222,69,53,34
1350,226,71,55,36
1360,230,75,56,37
1370,234,79,56,39
1380,238,83,54,40
1390,242,86,53,42
1400,246,90,51,43
1410,250,94,50,44
1420,254,97,48,46
1430,258,101,47,47
1440,262,105,45,49
1450,266,131,44,58
1460,269,128,42,59
1470,269,125,41,60
1480,269,125,39,61
1490,269,127,35,63
1500,269,129,31,64
1510,268,129,27,65
1520,265,127,23,66
1530,262,126,19,63
1540,259,124,15,59
1550,256,122,11,56
1560,253,121,10,52
1570,250,49,8,44
1580,247,51,7,41
1590,244,53,6,38
1600,241,55,5,35
1610,238,57,5,32
1620,235,59,6,28
1630,232,61,8,25
1640,229,63,9,22
1650,226,65,11,19
1660,223,67,13,16
1670,220,70,15,13
1680,217,75,16,9
1690,214,99,18,59
1700,211,103,20,61
1710,208,110,22,63
1720,205,117,23,65
1730,202,126,24,68
1740,199,134,22,67
1750,197,36,20,71
1760,194,41,18,70
1770,191,47,16,70
1780,188,53,15,69
1790,185,59,13,69
1800,182,64,11,68
1810,179,70,9,68
1820,176,76,7,67
1830,173,82,6,67
1840,170,88,5,67
1850,167,93,5,66
1860,164,99,5,66
1870,161,117,6,19
1880,158,115,7,19
1890,156,112,7,19
1900,155,110,8,20
1910,155,108,8,20
1920,155,107,9,21
1930,154,105,10,21
1940,154,104,10,21
1950,153,103,11,22
1960,153,103,11,22
1970,152,104,12,23
1980,152,104,13,23
1990,150,149,13,7
2000,149,152,14,6
