0,198,195,7,22
10,195,194,7,19
20,194,190,7,17
30,192,185,7,14
40,191,180,7,11
50,190,176,6,9
60,188,171,6,6
70,187,171,6,54
80,185,161,6,51
90,184,151,6,49
100,182,142,5,46
110,181,132,5,44
120,180,122,5,42
130,178,113,5,39
140,177,103,5,37
150,175,93,5,34
160,174,84,6,32
170,172,80,7,30
180,171,74,7,27
190,170,64,8,25
200,168,60,9,22
210,171,61,10,20
220,177,62,6,18
230,183,62,5,15
240,189,63,7,13
250,195,231,11,60
260,201,225,14,63
270,207,219,15,66
280,213,213,16,69
290,219,208,17,72
300,225,202,15,75
310,231,196,12,78
320,235,190,9,81
330,238,185,5,83
340,241,179,6,81
350,241,173,7,77
360,240,167,9,74
370,239,162,10,70
380,237,156,12,67
390,236,150,14,63
400,235,144,15,60
410,234,139,17,57
420,232,133,19,53
430,231,127,20,50
440,230,121,22,46
450,228,115,24,43
460,227,110,25,39
470,226,105,27,36
480,223,100,29,32
490,218,94,30,29
500,214,89,32,25
510,210,84,34,22
520,206,78,35,18
530,202,73,37,15
540,198,68,38,11
550,194,142,40,26
560,189,144,41,22
570,185,146,42,19
580,181,147,42,16
590,177,149,43,13
600,173,152,44,10
610,169,110,45,35
620,165,109,46,35
630,160,109,47,35
640,156,108,48,36
650,152,108,49,36
660,148,108,49,36
670,144,107,50,36
680,140,107,51,37
690,136,110,52,37
700,131,113,53,37
710,127,117,54,37
720,123,120,55,37
730,119,123,56,38
740,114,127,57,38
750,107,132,57,38
760,100,136,58,38
770,93,137,59,39
780,86,139,60,39
790,79,140,61,39
800,73,142,62,39
810,66,144,63,39
820,59,145,63,40
830,52,147,60,40
840,48,148,56,40
850,47,150,53,40
860,48,151,49,41
870,48,153,46,41
880,49,154,42,41
890,50,156,39,41
900,50,157,36,41
910,51,159,32,42
920,55,161,29,42
930,58,162,25,42
940,60,161,22,42
950,62,158,18,43
960,68,158,15,43
970,73,160,12,43
980,79,163,8,43
990,84,165,5,43
1000,90,167,6,44
1010,96,169,7,44
1020,101,171,9,44
1030,107,173,10,44
1040,113,175,12,45
1050,118,177,13,45
1060,124,179,14,45
1070,129,181,16,45
1080,135,183,17,45
1090,141,185,19,46
1100,146,187,20,46
1110,152,189,21,46
1120,158,191,23,44
1130,163,193,24,43
1140,169,196,25,42
1150,174,198,27,40
1160,180,200,28,39
1170,186,202,30,37
1180,191,204,31,36
1190,197,206,32,35
1200,202,208,34,33
1210,208,210,35,32
1220,214,211,37,31
1230,217,210,38,29
1240,218,206,39,28
1250,219,202,41,26
1260,221,199,42,25
1270,222,195,44,24
1280,223,191,45,22
1290,224,187,46,21
1300,223,184,48,20
1310,222,180,49,18
1320,221,176,50,17
1330,220,174,52,58
1340,222,171,53,57
1350,226,177,55,56
1360,230,183,56,54
1370,234,188,56,53
1380,238,194,54,52
1390,242,200,53,51
1400,246,206,51,50
1410,250,211,50,48
1420,254,217,48,47
1430,258,223,47,46
1440,262,229,45,45
1450,266,234,44,43
1460,269,240,42,42
1470,269,242,41,41
1480,269,243,39,40
1490,269,245,35,39
1500,269,246,31,37
1510,268,248,27,36
1520,265,250,23,35
1530,262,251,19,34
1540,259,253,15,31
1550,256,255,11,28
1560,253,256,10,24
1570,250,53,8,65
1580,247,54,7,64
1590,244,55,6,63
1600,241,56,5,63
1610,238,57,5,62
1620,235,58,6,61
1630,232,59,8,61
1640,229,60,9,60
1650,226,61,11,59
1660,223,62,13,56
1670,220,63,15,52
1680,217,64,16,48
1690,214,65,18,45
1700,211,66,20,41
1710,208,67,22,37
1720,205,68,23,34
1730,202,69,24,30
1740,199,70,22,26
1750,197,71,20,23
1760,194,72,18,19
1770,191,73,16,15
1780,188,74,15,12
1790,185,75,13,8
1800,182,76,11,5
1810,179,211,9,89
1820,176,211,7,88
1830,173,212,6,86
1840,170,213,5,84
1850,167,214,5,80
1860,164,215,5,76
1870,161,215,6,72
1880,158,216,7,68
1890,156,217,7,64
1900,155,218,8,60
1910,155,221,8,56
1920,155,229,9,52
1930,154,238,10,48
1940,154,247,10,44
1950,153,255,11,41
1960,153,264,11,37
1970,152,272,12,33
1980,152,278,13,31
1990,150,281,13,30
2000,149,281,14,28
2010,147,281,14,26
2020,149,282,15,24
2030,152,282,15,22
2040,155,275,15,19
2050,157,268,16,15
2060,160,260,16,11
2070,163,253,16,8
2080,165,245,15,5
2090,168,238,15,9
2100,171,230,14,11
2110,173,166,13,19
2120,176,163,12,22
2130,179,161,11,26
2140,182,158,10,29
2150,184,155,9,33
2160,187,153,8,36
2170,190,150,7,40
2180,192,146,6,43
2190,195,143,5,47
2200,196,138,5,50
2210,196,131,6,54
2220,196,125,7,57
2230,195,119,8,61
2240,195,113,8,64
2250,195,107,8,67
2260,194,101,7,63
2270,194,95,7,59
2280,194,89,7,55
2290,193,83,7,52
2300,190,80,9,48
2310,185,79,10,44
2320,180,79,11,40
2330,175,80,12,37
2340,170,83,13,33
2350,165,87,13,29
2360,160,90,14,25
2370,154,93,14,21
2380,149,96,15,18
2390,144,99,16,14
2400,139,103,16,10
2410,134,151,17,14
2420,129,153,18,14
2430,129,154,18,14
2440,134,156,19,14
2450,139,159,19,14
2460,144,164,20,14
2470,149,230,21,15
2480,157,232,21,15
2490,165,231,22,16
2500,172,229,23,16
2510,179,226,23,16
2520,185,224,24,17
2530,192,193,23,9
2540,192,190,21,8
2550,193,187,19,7
2560,193,184,17,6
2570,193,181,15,5
2580,193,178,13,5
2590,191,132,11,78
2600,187,132,9,77
2610,183,131,7,75
2620,178,131,5,74
2630,174,130,6,73
2640,170,129,8,71
2650,165,129,11,70
2660,161,132,13,69
2670,157,135,16,68
2680,152,139,18,66
2690,148,143,21,65
2700,144,146,23,64
2710,140,150,26,61
2720,135,153,28,58
2730,131,157,31,56
2740,125,161,33,53
2750,118,160,36,50
2760,115,159,38,47
2770,114,155,39,44
2780,116,151,40,41
2790,119,146,41,38
2800,121,142,41,35
2810,124,137,42,32
2820,126,133,42,29
2830,129,134,43,26
2840,131,136,44,23
2850,134,138,44,20
2860,137,139,45,17
2870,139,141,46,15
2880,142,143,46,12
2890,144,155,47,19
2900,147,155,47,22
2910,149,154,48,24
2920,152,154,49,27
2930,154,153,49,29
2940,157,154,50,31
2950,160,158,51,34
2960,162,162,51,36
2970,165,166,52,39
2980,167,169,52,41
2990,170,173,53,44
3000,172,177,54,46
