0,198,46,7,5
10,195,46,7,7
20,194,46,7,9
30,192,48,7,12
40,191,49,7,14
50,190,53,6,13
60,188,59,6,9
70,187,64,6,6
80,185,69,6,5
90,184,75,6,5
100,182,80,5,6
110,181,85,5,6
120,180,90,5,6
130,178,45,5,23
140,177,40,5,21
150,175,36,5,18
160,174,32,6,14
170,172,30,7,10
180,171,33,7,6
190,170,37,8,5
200,168,45,9,5
210,171,53,10,6
220,177,61,6,7
230,183,69,5,7
240,189,77,7,6
250,195,85,11,6
260,201,94,14,8
270,207,105,15,6
280,213,116,16,5
290,219,127,17,7
300,225,138,15,8
310,231,60,12,24
320,235,60,9,21
330,238,61,5,18
340,241,62,6,14
350,241,63,7,10
360,240,64,9,7
370,239,64,10,5
380,237,65,12,6
390,236,66,14,8
400,235,67,15,9
410,234,67,17,10
420,232,68,19,11
430,231,69,20,12
440,230,70,22,14
450,228,71,24,15
460,227,71,25,16
470,226,72,27,17
480,223,73,29,19
490,218,74,30,20
500,214,74,32,21
510,210,75,34,22
520,206,76,35,24
530,202,79,37,25
540,198,83,38,26
550,194,45,40,24
560,189,48,41,24
570,185,52,42,24
580,181,56,42,25
590,177,59,43,27
600,173,63,44,28
610,169,66,45,29
620,165,70,46,31
630,160,74,47,32
640,156,77,48,33
650,152,81,49,35
660,148,85,49,36
670,144,46,50,9
680,140,47,51,7
690,136,48,52,5
700,131,48,53,7
710,127,48,54,11
720,123,48,55,14
730,119,48,56,17
740,114,48,57,21
750,107,48,57,24
760,100,48,58,28
770,93,49,59,31
780,86,49,60,31
790,79,49,61,28
800,73,51,62,24
810,66,47,63,21
820,59,43,63,17
830,52,38,60,13
840,48,35,56,10
850,47,34,53,6
860,48,33,49,5
870,48,33,46,5
880,49,28,42,5
890,50,24,39,5
900,50,24,36,6
910,51,28,32,6
920,55,32,29,6
930,58,36,25,6
940,60,41,22,7
950,62,45,18,7
960,68,46,15,7
970,73,46,12,7
980,79,46,8,8
990,84,53,5,8
1000,90,59,6,8
1010,96,65,7,8
1020,101,72,9,8
1030,107,78,10,9
1040,113,84,12,9
1050,118,90,13,9
1060,124,97,14,9
1070,129,103,16,10
1080,135,109,17,10
1090,141,53,19,10
1100,146,55,20,10
1110,152,57,21,10
1120,158,60,23,10
1130,163,63,24,10
1140,169,67,25,10
1150,174,70,27,10
1160,180,74,28,10
1170,186,77,30,10
1180,191,81,31,10
1190,197,84,32,10
1200,202,88,34,9
1210,208,58,35,16
1220,214,61,37,17
1230,217,61,38,19
1240,218,60,39,20
1250,219,60,41,21
1260,221,60,42,23
1270,222,59,44,24
1280,223,59,45,26
1290,224,61,46,27
1300,223,63,48,29
1310,222,65,49,28
1320,221,68,50,25
1330,220,70,52,22
1340,222,74,53,19
1350,226,80,55,16
1360,230,86,56,13
1370,234,93,56,11
1380,238,100,54,8
1390,242,30,53,40
1400,246,32,51,38
1410,250,35,50,35
1420,254,37,48,33
1430,258,40,47,31
1440,262,43,45,29
1450,266,45,44,27
1460,269,48,42,25
1470,269,51,41,23
1480,269,53,39,21
1490,269,56,35,18
1500,269,59,31,16
1510,268,61,27,14
1520,265,64,23,12
1530,262,67,19,10
1540,259,69,15,8
1550,256,72,11,6
1560,253,74,10,5
1570,250,77,8,6
1580,247,80,7,8
1590,244,82,6,9
1600,241,85,5,10
1610,238,88,5,12
1620,235,90,6,13
1630,232,59,8,66
1640,229,59,9,63
1650,226,60,11,59
1660,223,61,13,56
1670,220,61,15,52
1680,217,62,16,48
1690,214,63,18,45
1700,211,67,20,41
1710,208,72,22,37
1720,205,77,23,34
1730,202,82,24,30
1740,199,87,22,26
1750,197,36,20,71
1760,194,41,18,70
1770,191,47,16,70
1780,188,53,15,69
1790,185,59,13,69
1800,182,64,11,68
1810,179,70,9,68
1820,176,76,7,67
1830,173,82,6,67
1840,170,88,5,67
1850,167,93,5,66
1860,164,99,5,66
1870,161,52,6,6
1880,158,52,7,7
1890,156,53,7,6
1900,155,55,8,5
1910,155,57,8,6
1920,155,60,9,7
1930,154,62,10,8
1940,154,64,10,9
1950,153,66,11,10
1960,153,69,11,11
1970,152,71,12,12
1980,152,73,13,13
1990,150,76,13,13
2000,149,78,14,14
2010,147,80,14,14
2020,149,81,15,15
2030,152,81,15,15
2040,155,81,15,15
2050,157,49,16,7
2060,160,50,16,7
2070,163,57,16,7
2080,165,66,15,7
2090,168,74,15,7
2100,171,83,14,7
2110,173,50,13,35
2120,176,46,12,35
2130,179,46,11,33
2140,182,53,10,30
2150,184,59,9,28
2160,187,65,8,26
2170,190,72,7,23
2180,192,78,6,21
2190,195,85,5,19
2200,196,91,5,17
2210,196,98,6,15
2220,196,104,7,12
2230,195,30,8,37
2240,195,30,8,37
2250,195,31,8,38
2260,194,34,7,38
2270,194,36,7,38
2280,194,39,7,38
2290,193,41,7,38
2300,190,44,9,39
2310,185,47,10,39
2320,180,49,11,39
2330,175,52,12,39
2340,170,54,13,40
2350,165,57,13,40
2360,160,59,14,40
2370,154,62,14,42
2380,149,65,15,44
2390,144,67,16,44
2400,139,70,16,42
2410,134,72,17,40
2420,129,75,18,39
2430,129,77,18,37
2440,134,80,19,35
2450,139,85,19,34
2460,144,90,20,32
2470,149,34,21,9
2480,157,35,21,6
2490,165,36,22,5
2500,172,37,23,6
2510,179,38,23,6
2520,185,39,24,5
2530,192,41,23,5
2540,192,42,21,7
2550,193,43,19,10
2560,193,44,17,12
2570,193,45,15,15
2580,193,46,13,15
2590,191,48,11,15
2600,187,49,9,15
2610,183,50,7,16
2620,178,51,5,16
2630,174,52,6,16
2640,170,53,8,16
2650,165,54,11,17
2660,161,56,13,17
2670,157,57,16,17
2680,152,58,18,17
2690,148,59,21,18
2700,144,60,23,18
2710,140,61,26,15
2720,135,63,28,13
2730,131,64,31,11
2740,125,65,33,8
2750,118,66,36,6
2760,115,67,38,5
2770,114,67,39,5
2780,116,65,40,6
2790,119,63,41,7
2800,121,61,41,7
2810,124,60,42,8
2820,126,58,42,9
2830,129,62,43,9
2840,131,64,44,10
2850,134,65,44,11
2860,137,67,45,11
2870,139,68,46,12
2880,142,69,46,12
2890,144,71,47,9
2900,147,72,47,6
2910,149,73,48,5
2920,152,75,49,7
2930,154,79,49,9
2940,157,83,50,11
2950,160,18,51,19
2960,162,13,51,16
2970,165,15,52,14
2980,167,18,52,11
2990,170,21,53,9
3000,172,25,54,6
